3,1,1
3,12,1
3,7,1
3,6,1
3,2,1
3,9,1
3,8,1
3,5,1
3,4,1
3,8,1
3,4,1
3,12,2
3,6,2
3,8,1
3,7,1
3,1,1
3,12,1
3,7,1
3,6,2
3,8,2
3,5,1
3,4,2
3,6,1
3,9,2
3,5,2
3,6,1
3,5,1
3,7,2
3,6,2
3,6,2
3,8,1
3,4,2
3,12,2
3,10,1
3,10,1
3,8,2
3,4,2
3,1,2
3,6,2
3,2,2
3,12,2
3,6,1
3,11,2
3,8,1
3,4,2
3,1,2
3,9,2
3,8,2
3,4,2
3,4,1
3,12,2
3,6,2
3,10,2
3,8,2
3,8,2
3,4,2
3,6,1
3,2,2
3,8,1
3,2,1
3,10,1
3,8,2
3,4,2
3,5,2
3,4,1
3,9,1
3,1,2
3,1,1
3,8,1
3,10,1
3,7,2
3,2,1
3,6,1
3,11,1
3,5,2
3,8,2
3,8,2
3,4,2
3,4,1
3,8,1
3,5,2
3,6,1
3,8,1
3,5,2
3,12,2
3,10,2
3,8,1
3,5,2
3,4,2
3,4,2
3,4,2
3,8,2
3,8,2
3,8,2
3,5,2
3,6,1
3,6,2
3,6,2
3,8,2
3,5,1
3,10,1
3,1,2
3,9,2
3,8,1
3,12,2
3,12,2
3,12,2
3,6,2
3,8,2
3,10,1
3,10,1
3,8,2
3,4,2
3,4,2
3,6,1
3,5,1
3,12,2
3,12,1
3,2,1
3,10,1
3,4,1
3,7,2
3,7,2
3,8,1
3,5,2
3,12,2
3,12,2
3,12,1
3,8,2
3,1,1
3,6,1
3,6,1
3,8,1
3,12,2
3,1,2
3,5,2
3,12,2
3,10,1
3,8,2
3,4,2
3,7,2
3,1,1
3,9,2
3,8,2
3,1,1
3,6,1
3,8,1
3,9,2
3,8,2
3,6,2
3,4,1
3,9,2
3,2,1
3,1,1
3,8,1
3,6,1
3,9,2
3,8,1
3,8,2
3,8,2
3,7,2
3,9,2
3,1,1
3,6,1
3,6,2
3,6,2
3,2,1
3,10,1
3,8,1
3,5,1
3,12,2
3,1,1
3,6,1
3,8,1
3,5,2
3,1,2
3,9,2
3,11,1
3,10,1
3,4,1
3,8,2
3,8,2
3,6,1
3,12,2
3,6,2
3,8,1
3,4,2
3,4,2
3,10,1
3,6,1
3,6,1
3,6,2
3,10,1
3,7,2
3,1,1
3,6,1
3,6,2
3,10,1
3,4,1
3,1,1
3,6,1
3,8,1
3,9,2
3,1,2
3,12,2
3,12,2
3,7,2
3,2,1
3,10,1
3,8,1
3,5,1
3,1,2
3,7,2
3,4,2
3,4,2
3,7,1
3,10,1
3,9,1
3,12,2
3,7,2
3,4,1
3,1,2
3,12,2
3,2,1
3,8,2
3,12,2
3,1,1
3,2,1
3,9,2
3,7,1
3,7,2
3,12,2
3,7,2
3,12,1
3,10,1
3,9,1
3,8,2
3,4,1
3,1,1
3,12,1
3,7,2
3,2,1
3,8,1
3,4,1
3,7,2
3,8,1
3,7,2
3,9,1
3,8,1
3,1,1
3,2,1
3,4,2
3,9,2
3,8,1
3,2,1
3,6,2
3,8,1
3,5,2
3,4,1
3,6,2
3,6,2
3,5,2
3,6,1
3,8,1
3,10,1
3,9,1
3,6,1
3,6,1
3,12,1
3,8,1
3,1,1
3,12,1
3,6,1
3,9,1
3,8,1
3,4,1
3,9,1
3,8,1
3,5,1
3,12,2
3,2,1
3,9,1
3,5,1
3,5,1
3,1,1
3,12,2
